time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,coin,currency
1614988800,41269.87,39638.59,40929.24,7043.44,285683874.3,41020.67,direct,,BTC,EUR
1615075200,43081.34,41019.05,41020.67,10196.42,431082172.2,42680.2,direct,,BTC,EUR
1615161600,44143.73,41585.52,42680.2,12513.06,535524656.3,44143.7,direct,,BTC,EUR
1615248000,46148.08,43742.76,44143.7,14098.35,640164304.57,46147.72,direct,,BTC,EUR
1615334400,48095.89,44750.3,46147.72,18226.73,852436624.01,46873.1,direct,,BTC,EUR
1615420800,48471.72,45569.64,46873.1,15895.99,748941021.65,48224.21,direct,,BTC,EUR
1615507200,48426.1,46281.21,48224.21,15808.65,749771317.31,47825.25,direct,,BTC,EUR
1615593600,50799.96,46974.97,47825.25,14425.58,711566420.34,50273.03,direct,,BTC,EUR
1615680000,50697.32,49318.0,50273.03,8209.11,410846898.58,49321.68,direct,,BTC,EUR
1615766400,50538.48,46178.2,49321.68,20966.56,1000512995.38,46728.06,direct,,BTC,EUR
1615852800,47806.15,44812.28,46728.06,15166.93,703120630.4,47804.64,direct,,BTC,EUR
1615939200,49166.71,45617.41,47804.64,14192.9,669707613.14,49136.76,direct,,BTC,EUR
1616025600,50319.04,47963.58,49136.76,12565.08,616523846.99,48436.43,direct,,BTC,EUR
1616112000,49903.56,47363.94,48436.43,9539.34,467618028.58,48836.72,direct,,BTC,EUR
1616198400,50203.07,48671.98,48836.72,7552.82,373668375.9,48846.96,direct,,BTC,EUR
1616284800,49252.25,46958.77,48846.96,9306.66,447439044.77,48334.19,direct,,BTC,EUR
1616371200,49088.92,45220.24,48334.19,13330.11,629652426.29,45463.84,direct,,BTC,EUR
1616457600,47114.88,44562.92,45463.84,13787.87,633248283.93,45959.31,direct,,BTC,EUR
1616544000,48395.68,43977.76,45959.31,17556.93,815426192.93,44347.4,direct,,BTC,EUR
1616630400,45120.23,42756.47,44347.4,19125.81,842265796.71,43664.65,direct,,BTC,EUR
1616716800,46705.0,43597.56,43664.65,10498.02,475590519.38,46696.65,direct,,BTC,EUR
1616803200,47901.3,45790.44,46696.65,8071.77,378417164.1,47348.07,direct,,BTC,EUR
1616889600,47886.74,46381.19,47348.07,6253.28,295377688.5,47340.46,direct,,BTC,EUR
1616976000,49494.47,46655.11,47340.46,12898.99,627382235.9,48896.04,direct,,BTC,EUR
1617062400,50496.62,48487.73,48896.04,10665.79,532076825.58,50115.63,direct,,BTC,EUR
1617148800,50988.24,48608.34,50115.63,13426.72,670739723.94,50053.53,direct,,BTC,EUR
1617235200,50617.71,49313.86,50053.53,7916.77,396328735.84,49890.52,direct,,BTC,EUR
1617321600,50958.36,49706.86,49890.52,8454.67,426466175.36,50127.62,direct,,BTC,EUR
1617408000,50627.84,48641.79,50127.62,7405.76,369335014.91,48736.94,direct,,BTC,EUR
1617494400,49849.54,48291.67,48736.94,5460.91,268645389.85,49529.84,direct,,BTC,EUR
1617580800,50152.02,48477.51,49529.84,6321.54,311859164.15,49947.47,direct,,BTC,EUR
