time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,coin,currency
1617544800,49717.34,49530.05,49611.15,155.04,7691988.71,49572.87,direct,,BTC,EUR
1617548400,49849.54,49331.76,49572.87,425.95,21121104.88,49406.04,direct,,BTC,EUR
1617552000,49513.95,49284.61,49406.04,235.06,11611659.94,49490.83,direct,,BTC,EUR
1617555600,49647.98,49486.81,49490.83,210.0,10408053.83,49561.7,direct,,BTC,EUR
1617559200,49629.97,49440.51,49561.7,145.7,7220720.49,49548.08,direct,,BTC,EUR
1617562800,49599.64,49268.22,49548.08,181.79,8980568.59,49420.29,direct,,BTC,EUR
1617566400,49487.81,49310.21,49420.29,138.32,6834738.99,49473.02,direct,,BTC,EUR
1617570000,49549.02,49402.19,49473.02,141.0,6975231.19,49497.12,direct,,BTC,EUR
1617573600,49551.44,49304.65,49497.12,155.39,7684750.73,49490.13,direct,,BTC,EUR
1617577200,49608.7,49480.87,49490.13,84.64,4193685.49,49529.84,direct,,BTC,EUR
1617580800,49666.12,49304.77,49529.84,135.1,6683642.18,49307.16,direct,,BTC,EUR
1617584400,49309.43,49106.13,49307.16,197.06,9692834.6,49174.18,direct,,BTC,EUR
1617588000,49179.73,48929.65,49174.18,244.55,11999183.66,49038.05,direct,,BTC,EUR
1617591600,49135.19,48836.24,49038.05,140.99,6912044.49,48941.98,direct,,BTC,EUR
1617595200,49074.14,48815.78,48941.98,119.65,5857570.98,48815.78,direct,,BTC,EUR
1617598800,48862.28,48532.4,48815.78,272.71,13279878.07,48546.99,direct,,BTC,EUR
1617602400,48833.09,48477.51,48546.99,420.45,20456026.67,48736.83,direct,,BTC,EUR
1617606000,48900.56,48599.41,48736.83,453.24,22099657.83,48855.69,direct,,BTC,EUR
1617609600,48915.08,48486.45,48855.69,311.13,15144227.48,48741.53,direct,,BTC,EUR
1617613200,49093.32,48626.64,48741.53,342.66,16766115.33,49091.05,direct,,BTC,EUR
1617616800,49173.68,48914.11,49091.05,251.69,12340053.47,49160.05,direct,,BTC,EUR
1617620400,49189.14,49070.15,49160.05,229.58,11279310.15,49185.38,direct,,BTC,EUR
1617624000,49424.67,49185.26,49185.38,361.01,17799672.24,49312.27,direct,,BTC,EUR
1617627600,49377.65,49136.99,49312.27,209.16,10304618.12,49337.12,direct,,BTC,EUR
1617631200,49955.81,49333.34,49337.12,750.16,37276274.04,49927.25,direct,,BTC,EUR
