time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,currency
1617607200,48839.03,48780.77,48784.4,3.07,149949.89,48833.89,direct,,EUR
1617607260,48835.68,48776.57,48833.89,1.419,69266.85,48776.63,direct,,EUR
1617607320,48778.44,48755.03,48776.63,6.22,303243.77,48755.29,direct,,EUR
1617607380,48793.38,48755.29,48755.29,7.877,384129.75,48786.87,direct,,EUR
1617607440,48790.98,48767.3,48786.87,2.429,118491.22,48768.82,direct,,EUR
1617607500,48775.02,48748.5,48768.82,8.327,405981.88,48775.02,direct,,EUR
1617607560,48787.33,48760.89,48775.02,4.886,238397.88,48787.33,direct,,EUR
1617607620,48805.64,48780.27,48787.33,9.315,454269.54,48805.64,direct,,EUR
1617607680,48811.08,48775.45,48805.64,14.9,726546.44,48778.13,direct,,EUR
1617607740,48778.13,48753.71,48778.13,2.501,121846.08,48758.04,direct,,EUR
1617607800,48764.17,48744.85,48758.04,5.37,261703.87,48764.17,direct,,EUR
1617607860,48790.02,48759.19,48764.17,5.911,288262.54,48770.2,direct,,EUR
1617607920,48778.03,48762.67,48770.2,9.722,473838.41,48764.85,direct,,EUR
1617607980,48767.54,48714.21,48764.85,6.463,314821.42,48714.22,direct,,EUR
1617608040,48714.22,48690.96,48714.22,12.19,593446.29,48693.88,direct,,EUR
1617608100,48703.21,48681.81,48693.88,6.343,308627.6,48703.21,direct,,EUR
1617608160,48710.47,48697.89,48703.21,2.399,116784.23,48702.07,direct,,EUR
1617608220,48715.27,48697.84,48702.07,2.274,110798.65,48712.12,direct,,EUR
1617608280,48712.12,48671.89,48712.12,5.299,257990.47,48672.42,direct,,EUR
1617608340,48683.84,48664.08,48672.42,24.05,1169338.72,48679.77,direct,,EUR
1617608400,48679.88,48602.7,48679.77,9.907,481792.57,48602.7,direct,,EUR
1617608460,48638.31,48599.46,48602.7,8.763,426009.11,48637.7,direct,,EUR
1617608520,48659.42,48634.08,48637.7,6.444,313324.58,48657.03,direct,,EUR
1617608580,48698.92,48657.03,48657.03,11.82,575022.43,48690.24,direct,,EUR
1617608640,48722.22,48690.24,48690.24,15.22,741094.64,48718.1,direct,,EUR
1617608700,48743.06,48711.83,48718.1,32.3,1573240.02,48743.06,direct,,EUR
1617608760,48771.85,48737.07,48743.06,6.942,338413.84,48771.85,direct,,EUR
1617608820,48814.05,48771.85,48771.85,1.509,73709.4,48812.4,direct,,EUR
1617608880,48812.4,48792.82,48812.4,3.5869999999999997,175072.57,48804.75,direct,,EUR
1617608940,48829.78,48803.9,48804.75,1.428,69730.07,48829.78,direct,,EUR
1617609000,48839.41,48811.13,48829.78,3.119,152299.43,48813.36,direct,,EUR
1617609060,48813.36,48771.18,48813.36,6.482,316322.74,48771.56,direct,,EUR
1617609120,48777.45,48753.26,48771.56,2.66,129696.1,48776.99,direct,,EUR
1617609180,48836.75,48776.99,48776.99,5.491,268067.26,48830.9,direct,,EUR
1617609240,48841.34,48818.41,48830.9,6.923,337937.21,48818.41,direct,,EUR
1617609300,48818.41,48784.46,48818.41,2.778,135575.82,48793.42,direct,,EUR
1617609360,48795.55,48774.05,48793.42,2.613,127529.46,48782.33,direct,,EUR
1617609420,48859.23,48778.65,48782.33,6.904,337079.41,48840.57,direct,,EUR
1617609480,48879.05,48835.1,48840.57,4.757,232643.04,48870.11,direct,,EUR
1617609540,48874.73,48852.21,48870.11,2.378,116146.6,48855.69,direct,,EUR
1617609600,48874.97,48843.42,48855.69,3.112,152100.47,48869.15,direct,,EUR
1617609660,48915.08,48868.68,48869.15,4.33,211783.27,48908.45,direct,,EUR
1617609720,48910.79,48849.49,48908.45,3.45,168606.51,48852.64,direct,,EUR
1617609780,48861.26,48846.41,48852.64,1.267,61919.04,48860.56,direct,,EUR
1617609840,48862.85,48827.95,48860.56,5.713,278984.82,48832.07,direct,,EUR
1617609900,48843.82,48822.85,48832.07,3.5540000000000003,173633.16,48823.8,direct,,EUR
1617609960,48840.22,48812.62,48823.8,6.011,293479.58,48817.6,direct,,EUR
1617610020,48817.6,48792.53,48817.6,3.951,192684.96,48801.41,direct,,EUR
1617610080,48801.41,48745.6,48801.41,9.235,450195.52,48745.64,direct,,EUR
1617610140,48774.2,48736.62,48745.64,3.688,179787.37,48752.38,direct,,EUR
1617610200,48757.65,48720.91,48752.38,8.012,390334.58,48721.95,direct,,EUR
1617610260,48726.32,48716.75,48721.95,9.19,447306.22,48716.75,direct,,EUR
1617610320,48731.05,48711.23,48716.75,3.154,153677.73,48727.61,direct,,EUR
1617610380,48729.12,48713.76,48727.61,2.699,131469.69,48723.74,direct,,EUR
1617610440,48754.51,48723.74,48723.74,2.9210000000000003,142429.18,48745.69,direct,,EUR
1617610500,48745.69,48697.01,48745.69,2.568,125078.06,48697.01,direct,,EUR
1617610560,48705.49,48690.57,48697.01,4.495,218847.59,48693.78,direct,,EUR
1617610620,48695.3,48687.46,48693.78,2.35,114486.5,48688.72,direct,,EUR
1617610680,48706.89,48688.71,48688.72,2.152,104854.24,48696.83,direct,,EUR
1617610740,48727.43,48691.26,48696.83,4.567,222563.12,48725.81,direct,,EUR
1617610800,48732.67,48701.42,48725.81,3.886,189435.97,48703.5,direct,,EUR
1617610860,48703.5,48692.74,48703.5,4.467,217564.8,48699.96,direct,,EUR
1617610920,48702.57,48692.42,48699.96,4.925,239776.11,48692.6,direct,,EUR
1617610980,48692.76,48665.51,48692.6,2.642,128621.56,48668.11,direct,,EUR
1617611040,48674.0,48631.5,48668.11,7.5809999999999995,368950.01,48643.54,direct,,EUR
1617611100,48654.94,48617.55,48643.54,5.209,253421.98,48628.07,direct,,EUR
1617611160,48631.62,48569.83,48628.07,14.77,717632.92,48584.11,direct,,EUR
1617611220,48585.35,48523.12,48584.11,14.21,689872.78,48523.12,direct,,EUR
1617611280,48541.87,48486.45,48523.12,36.4,1765577.8,48538.45,direct,,EUR
1617611340,48579.45,48535.52,48538.45,11.15,541669.55,48575.64,direct,,EUR
1617611400,48649.46,48574.58,48575.64,4.688,227961.26,48649.46,direct,,EUR
1617611460,48649.46,48592.39,48649.46,2.585,125737.72,48592.39,direct,,EUR
1617611520,48620.48,48591.38,48592.39,2.399,116565.04,48620.48,direct,,EUR
1617611580,48649.36,48619.25,48620.48,4.956,241208.1,48637.33,direct,,EUR
1617611640,48637.33,48606.57,48637.33,4.583,222805.99,48607.9,direct,,EUR
1617611700,48666.17,48607.9,48607.9,3.206,155877.03,48666.17,direct,,EUR
1617611760,48666.17,48638.96,48666.17,9.981,485318.43,48647.78,direct,,EUR
1617611820,48665.12,48640.47,48647.78,5.823,283257.42,48665.09,direct,,EUR
1617611880,48678.2,48660.47,48665.09,4.034,196279.62,48676.37,direct,,EUR
1617611940,48681.06,48670.95,48676.37,1.947,94808.98,48678.68,direct,,EUR
1617612000,48681.04,48632.16,48678.68,6.632,322837.23,48636.69,direct,,EUR
1617612060,48671.26,48633.38,48636.69,1.8679999999999999,90950.47,48671.26,direct,,EUR
1617612120,48676.28,48662.9,48671.26,1.935,94112.69,48675.53,direct,,EUR
1617612180,48700.32,48675.43,48675.53,2.8689999999999998,139654.6,48697.62,direct,,EUR
1617612240,48702.17,48681.74,48697.62,3.826,186245.47,48683.16,direct,,EUR
1617612300,48719.53,48667.89,48692.05,183.93,8951484.9,48667.89,invert_divide,ETH,EUR
1617612360,48679.06,48665.67,48667.9,1.026,49946.74,48678.9,direct,,EUR
1617612420,48696.93,48678.9,48678.9,2.56,124724.05,48696.93,direct,,EUR
