time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,currency
1617631920,49428.62,49404.21,49428.62,3.053,150820.93,49404.28,direct,,EUR
1617631980,49460.59,49366.96,49411.9,182.25,9000796.74,49387.09,invert_divide,ETH,EUR
1617632040,49410.55,49374.94,49374.97,3.479,171822.53,49390.29,direct,,EUR
1617632100,49422.55,49388.3,49390.29,3.2800000000000002,162099.87,49417.16,direct,,EUR
1617632160,49425.36,49414.07,49417.16,3.202,158210.02,49418.61,direct,,EUR
1617632220,49439.12,49418.61,49418.61,4.813,237943.08,49438.14,direct,,EUR
1617632280,49438.14,49416.87,49438.14,5.353,264612.02,49420.09,direct,,EUR
1617632340,49424.74,49408.07,49420.09,3.951,195278.24,49413.95,direct,,EUR
1617632400,49413.99,49393.84,49413.95,2.446,120899.11,49399.26,direct,,EUR
1617632460,49440.88,49334.91,49390.01,209.75,10367651.21,49428.61,invert_divide,ETH,EUR
1617632520,49503.24,49426.38,49426.38,17.25,853486.97,49500.02,direct,,EUR
1617632580,49502.03,49486.63,49500.02,4.8,237612.05,49502.03,direct,,EUR
1617632640,49519.41,49494.16,49502.03,17.78,880325.01,49518.74,direct,,EUR
1617632700,49551.42,49515.82,49518.74,9.887,489715.14,49551.39,direct,,EUR
1617632760,49703.43,49549.2,49551.39,75.18,3731932.82,49693.34,direct,,EUR
1617632820,49722.1,49679.47,49693.34,14.39,715074.33,49720.9,direct,,EUR
1617632880,49758.51,49716.02,49720.9,24.31,1208906.73,49741.59,direct,,EUR
1617632940,49752.53,49705.86,49741.59,37.73,1877029.42,49709.74,direct,,EUR
1617633000,49801.81,49706.54,49709.74,41.98,2088826.08,49745.66,direct,,EUR
1617633060,49800.06,49725.81,49756.82,313.63,15609023.21,49768.91,invert_divide,ETH,EUR
1617633120,49788.92,49760.57,49785.11,10.86,540674.59,49763.21,direct,,EUR
1617633180,49790.14,49749.63,49763.21,13.97,695379.44,49784.1,direct,,EUR
1617633240,49803.56,49780.89,49784.1,6.796,338374.45,49801.42,direct,,EUR
1617633300,49807.83,49770.63,49801.42,8.355,416047.86,49776.94,direct,,EUR
1617633360,49796.92,49776.27,49776.94,4.998,248848.9,49795.61,direct,,EUR
1617633420,49821.15,49788.87,49795.61,14.82,737997.54,49795.8,direct,,EUR
1617633480,49854.09,49794.79,49795.8,51.75,2578148.38,49854.05,direct,,EUR
1617633540,49871.31,49829.5,49854.05,10.78,537321.39,49830.01,direct,,EUR
1617633600,49861.72,49829.8,49830.01,18.2,907065.1,49858.97,direct,,EUR
1617633660,49916.22,49858.97,49858.97,41.05,2048470.88,49914.48,direct,,EUR
1617633720,49938.18,49907.91,49914.48,26.85,1340871.26,49935.39,direct,,EUR
1617633780,50004.45,49845.11,49935.02,306.4,15302532.81,49942.99,invert_divide,ETH,EUR
1617633840,49926.0,49854.23,49921.39,10.87,542366.03,49870.95,direct,,EUR
1617633900,49938.74,49870.14,49870.95,16.63,830116.63,49925.8,direct,,EUR
1617633960,49955.81,49920.15,49925.8,5.884,293868.78,49955.7,direct,,EUR
1617634020,49955.73,49930.17,49955.7,7.377,368492.84,49938.0,direct,,EUR
1617634080,49938.0,49900.32,49938.0,14.03,700542.38,49904.98,direct,,EUR
1617634140,49915.18,49844.72,49904.98,10.73,534983.0,49851.71,direct,,EUR
1617634200,49858.35,49820.49,49851.71,12.13,604683.34,49833.43,direct,,EUR
1617634260,49873.09,49823.44,49833.43,3.3810000000000002,168583.45,49871.22,direct,,EUR
1617634320,49904.0,49871.22,49871.22,9.684,483244.79,49894.26,direct,,EUR
1617634380,49910.46,49887.82,49894.26,10.44,520800.21,49910.46,direct,,EUR
1617634440,49928.24,49910.4,49910.46,5.074,253239.38,49924.6,direct,,EUR
1617634500,49930.55,49900.16,49924.6,11.22,560023.19,49910.29,direct,,EUR
1617634560,49911.86,49893.64,49910.29,11.62,579420.3,49897.41,direct,,EUR
1617634620,49959.92,49889.69,49897.41,16.64,830554.24,49957.1,direct,,EUR
1617634680,49991.71,49952.01,49957.1,53.23,2659472.79,49991.71,direct,,EUR
1617634740,50095.84,49988.19,49991.71,106.4,5323521.63,50093.99,direct,,EUR
1617634800,50152.02,50045.37,50093.99,68.56,3437137.96,50057.92,direct,,EUR
1617634860,50130.88,50057.5,50057.92,39.23,1966521.99,50098.48,direct,,EUR
1617634920,50106.27,50057.0,50098.48,5.222,261443.2,50057.6,direct,,EUR
1617634980,50070.97,50029.85,50057.6,12.31,616226.93,50064.83,direct,,EUR
1617635040,50070.86,50051.3,50064.83,8.177,409357.82,50065.91,direct,,EUR
1617635100,50086.08,50059.07,50065.91,8.345,417993.09,50067.76,direct,,EUR
1617635160,50068.8,50014.39,50067.76,6.464,323427.62,50014.82,direct,,EUR
1617635220,50028.78,49999.66,50014.82,8.053,402785.21,50028.78,direct,,EUR
1617635280,50041.99,49901.67,50028.78,25.6,1279091.62,49902.82,direct,,EUR
1617635340,49983.36,49902.45,49902.82,7.394,369403.88,49979.65,direct,,EUR
